n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios,counts,dim
1024,512,0.9,0.9,30.3298077583313,True,189,-10,128,128,2,"[0.5, 0.5]","[128, 128]",4
1024,512,0.9,0.9,18.43071675300598,True,213,-10,256,256,2,"[0.5, 0.5]","[256, 256]",8
1024,512,0.9,0.9,3.790855407714844e-05,True,241,-10,512,512,2,"[0.5, 0.5]","[512, 512]",16
1024,512,0.9,0.9,5.626678466796875e-05,True,246,-10,512,512,2,"[0.5, 0.5]","[512, 512]",32
1024,1024,0.9,0.9,61.22050762176514,True,366,-10,128,128,2,"[0.5, 0.5]","[128, 128]",4
1024,1024,0.9,0.9,40.13425421714783,True,433,-10,256,256,2,"[0.5, 0.5]","[256, 256]",8
1024,1024,0.9,0.9,4.4345855712890625e-05,True,480,-10,512,512,2,"[0.5, 0.5]","[512, 512]",16
1024,1024,0.9,0.9,4.482269287109375e-05,True,482,-10,512,512,2,"[0.5, 0.5]","[512, 512]",32
1024,2048,0.9,0.9,125.59214639663696,True,741,-10,128,128,2,"[0.5, 0.5]","[128, 128]",4
1024,2048,0.9,0.9,75.99125790596008,True,849,-10,256,256,2,"[0.5, 0.5]","[256, 256]",8
1024,2048,0.9,0.9,4.4345855712890625e-05,True,956,-10,512,512,2,"[0.5, 0.5]","[512, 512]",16
1024,2048,0.9,0.9,4.3392181396484375e-05,True,969,-10,512,512,2,"[0.5, 0.5]","[512, 512]",32
1024,4096,0.9,0.9,242.921528339386,True,1451,-10,128,128,2,"[0.5, 0.5]","[128, 128]",4
1024,4096,0.9,0.9,156.3207404613495,True,1742,-10,256,256,2,"[0.5, 0.5]","[256, 256]",8
1024,4096,0.9,0.9,4.7206878662109375e-05,True,1833,-10,512,512,2,"[0.5, 0.5]","[512, 512]",16
1024,4096,0.9,0.9,4.792213439941406e-05,True,2007,-10,512,512,2,"[0.5, 0.5]","[512, 512]",32
