n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios
512,512,0.9,0.2,0.001397848129272461,True,37,-10,348,354,2,"[0.5, 0.5]"
512,512,0.9,0.2,0.0013670921325683594,True,46,-9,428,277,2,"[0.6, 0.4]"
512,512,0.9,0.2,0.0013222694396972656,True,35,-10,491,201,2,"[0.7, 0.3]"
512,512,0.9,0.2,0.0023801326751708984,True,50,-10,554,136,2,"[0.8, 0.2]"
512,512,0.9,0.2,0.0016248226165771484,True,30,2,180,170,4,"[0.25, 0.25, 0.25, 0.25]"
512,512,0.9,0.2,0.001903533935546875,True,37,-9,90,86,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,512,0.9,0.2,0.0027933120727539062,True,40,-4,47,40,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,512,0.9,0.3,0.0010313987731933594,True,15,-10,299,289,2,"[0.5, 0.5]"
512,512,0.9,0.3,0.0010497570037841797,True,21,-10,350,227,2,"[0.6, 0.4]"
512,512,0.9,0.3,0.0010488033294677734,True,19,-10,403,179,2,"[0.7, 0.3]"
512,512,0.9,0.3,0.0010225772857666016,True,14,-10,471,117,2,"[0.8, 0.2]"
512,512,0.9,0.3,0.0012731552124023438,True,11,-10,146,146,4,"[0.25, 0.25, 0.25, 0.25]"
512,512,0.9,0.3,0.0015347003936767578,True,24,-10,73,74,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
512,512,0.9,0.3,0.0022084712982177734,True,23,-10,37,38,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]"
512,512,0.9,0.4,0.0008802413940429688,True,8,-10,213,213,2,"[0.5, 0.5]"
512,512,0.9,0.4,0.0008001327514648438,True,11,-10,255,170,2,"[0.6, 0.4]"
