n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios,counts
512,512,0.9,0.2,0.001573801040649414,True,38,-10,348,359,2,"[0.5, 0.5]","[348, 359]"
512,512,0.9,0.2,0.0013725757598876953,True,36,-9,414,284,2,"[0.6, 0.4]","[414, 284]"
512,512,0.9,0.2,0.0013239383697509766,True,36,-10,484,204,2,"[0.7, 0.3]","[484, 204]"
512,512,0.9,0.2,0.001331329345703125,True,41,-9,552,136,2,"[0.8, 0.2]","[552, 136]"
512,512,0.9,0.2,0.0015673637390136719,True,44,-10,174,179,4,"[0.25, 0.25, 0.25, 0.25]","[174, 179, 173, 170]"
512,512,0.9,0.2,0.0019659996032714844,True,43,-9,92,85,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[92, 85, 85, 92, 82, 92, 83, 89]"
512,512,0.9,0.2,0.0026564598083496094,True,42,-7,41,43,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[41, 43, 39, 47, 48, 44, 48, 45, 40, 37, 42, 39, 43, 45, 38, 45]"
512,512,0.9,0.3,0.0010266304016113281,True,16,-10,229,229,2,"[0.5, 0.5]","[229, 229]"
512,512,0.9,0.3,0.001009225845336914,True,14,-10,275,183,2,"[0.6, 0.4]","[275, 183]"
512,512,0.9,0.3,0.0009331703186035156,True,18,-10,321,137,2,"[0.7, 0.3]","[321, 137]"
512,512,0.9,0.3,0.0009942054748535156,True,13,-10,367,91,2,"[0.8, 0.2]","[367, 91]"
512,512,0.9,0.3,0.0012061595916748047,True,16,-10,114,114,4,"[0.25, 0.25, 0.25, 0.25]","[114, 114, 114, 114]"
512,512,0.9,0.3,0.0016002655029296875,True,25,-10,73,75,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[73, 75, 71, 75, 71, 75, 71, 74]"
512,512,0.9,0.3,0.002232074737548828,True,11,-10,38,40,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[38, 40, 38, 38, 39, 36, 33, 37, 39, 34, 40, 37, 40, 37, 32, 37]"
512,512,0.9,0.4,0.0008189678192138672,True,7,-10,159,159,2,"[0.5, 0.5]","[159, 159]"
512,512,0.9,0.4,0.0008153915405273438,True,10,-10,191,127,2,"[0.6, 0.4]","[191, 127]"
512,512,0.9,0.4,0.0008280277252197266,True,7,-10,223,95,2,"[0.7, 0.3]","[223, 95]"
512,512,0.9,0.4,0.0008022785186767578,True,7,-10,255,63,2,"[0.8, 0.2]","[255, 63]"
512,512,0.9,0.4,0.0009851455688476562,True,10,-10,79,79,4,"[0.25, 0.25, 0.25, 0.25]","[79, 79, 79, 79]"
512,512,0.9,0.4,0.0013315677642822266,True,6,-10,53,53,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[53, 53, 53, 53, 53, 53, 53, 53]"
512,512,0.9,0.4,0.0019159317016601562,True,9,-10,32,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[32, 33, 33, 33, 33, 33, 32, 32, 33, 33, 33, 32, 33, 33, 33, 32]"
512,512,0.9,0.5,0.0006875991821289062,True,2,-10,120,120,2,"[0.5, 0.5]","[120, 120]"
512,512,0.9,0.5,0.0006768703460693359,True,2,-10,144,95,2,"[0.6, 0.4]","[144, 95]"
512,512,0.9,0.5,0.0006844997406005859,True,3,-10,168,71,2,"[0.7, 0.3]","[168, 71]"
512,512,0.9,0.5,0.0006539821624755859,True,1,-10,192,47,2,"[0.8, 0.2]","[192, 47]"
512,512,0.9,0.5,0.0008075237274169922,True,1,-10,60,60,4,"[0.25, 0.25, 0.25, 0.25]","[60, 60, 60, 60]"
512,512,0.9,0.5,0.0011646747589111328,True,3,-10,40,40,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[40, 40, 40, 40, 40, 40, 40, 40]"
512,512,0.9,0.5,0.0016977787017822266,True,3,-10,25,25,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]"
512,512,0.9,0.6,0.0005824565887451172,True,0,-10,95,95,2,"[0.5, 0.5]","[95, 95]"
512,512,0.9,0.6,0.0005753040313720703,True,1,-10,114,76,2,"[0.6, 0.4]","[114, 76]"
512,512,0.9,0.6,0.0005865097045898438,True,1,-10,133,57,2,"[0.7, 0.3]","[133, 57]"
512,512,0.9,0.6,0.000568389892578125,True,1,-10,152,38,2,"[0.8, 0.2]","[152, 38]"
512,512,0.9,0.6,0.0007081031799316406,True,0,-10,47,47,4,"[0.25, 0.25, 0.25, 0.25]","[47, 47, 47, 47]"
512,512,0.9,0.6,0.0009565353393554688,True,0,-10,31,31,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[31, 31, 31, 31, 31, 31, 31, 31]"
512,512,0.9,0.6,0.0015218257904052734,True,0,-10,19,19,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
512,1024,0.9,0.2,0.001416921615600586,True,85,-10,349,358,2,"[0.5, 0.5]","[349, 358]"
512,1024,0.9,0.2,0.0013456344604492188,True,90,-10,411,277,2,"[0.6, 0.4]","[411, 277]"
512,1024,0.9,0.2,0.0013720989227294922,True,75,-10,494,212,2,"[0.7, 0.3]","[494, 212]"
512,1024,0.9,0.2,0.001272439956665039,True,81,-10,557,138,2,"[0.8, 0.2]","[557, 138]"
512,1024,0.9,0.2,0.0015823841094970703,True,93,-5,178,173,4,"[0.25, 0.25, 0.25, 0.25]","[178, 173, 173, 169]"
512,1024,0.9,0.2,0.0019791126251220703,True,87,-10,88,88,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[88, 88, 85, 89, 94, 88, 84, 84]"
512,1024,0.9,0.2,0.002686738967895508,True,74,-8,40,44,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[40, 44, 45, 47, 42, 42, 44, 45, 41, 43, 44, 48, 37, 43, 41, 42]"
512,1024,0.9,0.3,0.001004934310913086,True,40,-10,229,229,2,"[0.5, 0.5]","[229, 229]"
512,1024,0.9,0.3,0.001012563705444336,True,43,-10,275,183,2,"[0.6, 0.4]","[275, 183]"
512,1024,0.9,0.3,0.00099945068359375,True,49,-10,321,137,2,"[0.7, 0.3]","[321, 137]"
512,1024,0.9,0.3,0.0010025501251220703,True,34,-10,367,91,2,"[0.8, 0.2]","[367, 91]"
512,1024,0.9,0.3,0.0012049674987792969,True,27,-10,114,114,4,"[0.25, 0.25, 0.25, 0.25]","[114, 114, 114, 114]"
512,1024,0.9,0.3,0.0016040802001953125,True,30,-10,76,73,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[76, 73, 71, 68, 74, 70, 75, 76]"
512,1024,0.9,0.3,0.0022110939025878906,True,21,-10,37,34,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[37, 34, 38, 34, 40, 38, 36, 40, 39, 39, 35, 37, 37, 34, 35, 35]"
512,1024,0.9,0.4,0.0008265972137451172,True,11,-10,159,159,2,"[0.5, 0.5]","[159, 159]"
512,1024,0.9,0.4,0.0008413791656494141,True,17,-10,191,127,2,"[0.6, 0.4]","[191, 127]"
512,1024,0.9,0.4,0.0008058547973632812,True,17,-10,223,95,2,"[0.7, 0.3]","[223, 95]"
512,1024,0.9,0.4,0.0007998943328857422,True,20,-10,255,63,2,"[0.8, 0.2]","[255, 63]"
512,1024,0.9,0.4,0.0009000301361083984,True,12,-10,79,79,4,"[0.25, 0.25, 0.25, 0.25]","[79, 79, 79, 79]"
512,1024,0.9,0.4,0.001264810562133789,True,18,-10,53,53,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[53, 53, 53, 53, 53, 53, 53, 53]"
512,1024,0.9,0.4,0.002001523971557617,True,16,-10,33,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[33, 33, 33, 33, 33, 33, 32, 33, 33, 33, 33, 32, 33, 33, 33, 33]"
512,1024,0.9,0.5,0.0007030963897705078,True,10,-10,120,120,2,"[0.5, 0.5]","[120, 120]"
512,1024,0.9,0.5,0.0006923675537109375,True,3,-10,144,95,2,"[0.6, 0.4]","[144, 95]"
512,1024,0.9,0.5,0.0006215572357177734,True,2,-10,168,71,2,"[0.7, 0.3]","[168, 71]"
512,1024,0.9,0.5,0.0006735324859619141,True,7,-10,192,47,2,"[0.8, 0.2]","[192, 47]"
512,1024,0.9,0.5,0.0008332729339599609,True,3,-10,60,60,4,"[0.25, 0.25, 0.25, 0.25]","[60, 60, 60, 60]"
512,1024,0.9,0.5,0.0010581016540527344,True,6,-10,40,40,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[40, 40, 40, 40, 40, 40, 40, 40]"
512,1024,0.9,0.5,0.0017006397247314453,True,4,-10,25,25,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]"
512,1024,0.9,0.6,0.0005838871002197266,True,4,-10,95,95,2,"[0.5, 0.5]","[95, 95]"
512,1024,0.9,0.6,0.0005896091461181641,True,0,-10,114,76,2,"[0.6, 0.4]","[114, 76]"
512,1024,0.9,0.6,0.0005729198455810547,True,2,-10,133,57,2,"[0.7, 0.3]","[133, 57]"
512,1024,0.9,0.6,0.0005781650543212891,True,2,-10,152,38,2,"[0.8, 0.2]","[152, 38]"
512,1024,0.9,0.6,0.0007119178771972656,True,4,-10,47,47,4,"[0.25, 0.25, 0.25, 0.25]","[47, 47, 47, 47]"
