n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios
1024,512,0.9,0.2,3.0115296840667725,True,50,-10,256,256,2,"[0.5, 0.5]"
1024,512,0.9,0.3,2.987372636795044,True,24,-10,256,256,2,"[0.5, 0.5]"
1024,512,0.9,0.4,4.031214714050293,True,4,-10,128,128,2,"[0.5, 0.5]"
1024,512,0.9,0.5,4.389069557189941,True,4,-10,128,128,2,"[0.5, 0.5]"
1024,512,0.9,0.6,5.342480421066284,True,1,-10,64,64,2,"[0.5, 0.5]"
1024,1024,0.9,0.2,5.784199237823486,True,84,-10,256,256,2,"[0.5, 0.5]"
1024,1024,0.9,0.3,5.3382182121276855,True,23,-10,256,256,2,"[0.5, 0.5]"
1024,1024,0.9,0.4,8.645506381988525,True,13,-10,128,128,2,"[0.5, 0.5]"
1024,1024,0.9,0.5,8.408395767211914,True,4,-10,128,128,2,"[0.5, 0.5]"
1024,1024,0.9,0.6,8.605709791183472,True,1,-10,64,64,2,"[0.5, 0.5]"
1024,2048,0.9,0.2,11.998286485671997,True,178,-10,256,256,2,"[0.5, 0.5]"
1024,2048,0.9,0.3,11.70280909538269,True,68,-10,256,256,2,"[0.5, 0.5]"
1024,2048,0.9,0.4,18.57629370689392,True,33,-10,128,128,2,"[0.5, 0.5]"
1024,2048,0.9,0.5,16.981130838394165,True,11,-10,128,128,2,"[0.5, 0.5]"
1024,2048,0.9,0.6,19.5037362575531,True,7,-10,64,64,2,"[0.5, 0.5]"
1024,4096,0.9,0.2,23.69036865234375,True,324,-10,256,256,2,"[0.5, 0.5]"
1024,4096,0.9,0.3,24.600287199020386,True,154,-10,256,256,2,"[0.5, 0.5]"
1024,4096,0.9,0.4,36.867905616760254,True,64,-10,128,128,2,"[0.5, 0.5]"
1024,4096,0.9,0.5,34.867979526519775,True,19,-10,128,128,2,"[0.5, 0.5]"
1024,4096,0.9,0.6,38.61502957344055,True,5,-10,64,64,2,"[0.5, 0.5]"
