n,m,dim,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
512,512,4,0.9,0.9,3.790855407714844e-05,True,176,0,91,94
512,512,4,0.9,0.92,3.3855438232421875e-05,True,176,0,87,93
512,512,4,0.9,0.94,3.0994415283203125e-05,True,162,0,92,83
512,512,4,0.9,0.96,2.956390380859375e-05,True,164,0,91,79
512,512,4,0.9,0.98,3.24249267578125e-05,True,130,0,75,90
512,512,8,0.9,0.9,2.956390380859375e-05,True,197,0,88,79
512,512,8,0.9,0.92,5.817413330078125e-05,True,211,0,85,77
512,512,8,0.9,0.94,3.0040740966796875e-05,True,230,0,87,70
512,512,8,0.9,0.96,5.555152893066406e-05,True,234,0,61,92
512,512,8,0.9,0.98,2.8848648071289062e-05,True,205,0,86,63
512,512,16,0.9,0.9,4.458427429199219e-05,True,228,0,74,83
512,512,16,0.9,0.92,2.956390380859375e-05,True,239,0,65,88
512,512,16,0.9,0.94,2.7894973754882812e-05,True,229,0,75,73
512,512,16,0.9,0.96,2.8133392333984375e-05,True,232,0,71,73
512,512,16,0.9,0.98,4.363059997558594e-05,True,237,0,76,64
512,512,32,0.9,0.9,2.86102294921875e-05,True,233,0,79,74
512,512,32,0.9,0.92,2.765655517578125e-05,True,239,0,74,74
512,512,32,0.9,0.94,2.7179718017578125e-05,True,253,0,63,81
512,512,32,0.9,0.96,2.8133392333984375e-05,True,248,0,73,67
512,512,32,0.9,0.98,2.6702880859375e-05,True,230,0,67,69
512,1024,4,0.9,0.9,5.340576171875e-05,True,363,0,91,94
512,1024,4,0.9,0.92,3.504753112792969e-05,True,356,0,90,90
512,1024,4,0.9,0.94,5.030632019042969e-05,True,342,0,88,87
512,1024,4,0.9,0.96,3.600120544433594e-05,True,312,0,92,78
512,1024,4,0.9,0.98,3.504753112792969e-05,True,296,0,91,74
512,1024,8,0.9,0.9,5.364418029785156e-05,True,448,0,87,80
512,1024,8,0.9,0.92,3.552436828613281e-05,True,450,0,83,79
512,1024,8,0.9,0.94,3.62396240234375e-05,True,435,0,77,80
512,1024,8,0.9,0.96,3.5762786865234375e-05,True,427,0,62,91
512,1024,8,0.9,0.98,8.7738037109375e-05,True,419,0,77,72
