n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
512,512,0.9,0.2,7.605552673339844e-05,True,33,0,253,253
512,512,0.9,0.3,4.4345855712890625e-05,True,14,0,144,162
512,512,0.9,0.4,3.2901763916015625e-05,True,3,0,94,119
512,512,0.9,0.5,2.6702880859375e-05,True,2,0,73,87
512,512,0.9,0.6,2.47955322265625e-05,True,1,0,63,64
512,1024,0.9,0.2,5.245208740234375e-05,True,91,0,259,247
512,1024,0.9,0.3,4.124641418457031e-05,True,31,0,163,143
512,1024,0.9,0.4,3.0040740966796875e-05,True,13,0,107,106
512,1024,0.9,0.5,2.5272369384765625e-05,True,6,0,85,75
512,1024,0.9,0.6,2.3365020751953125e-05,True,2,0,66,61
512,2048,0.9,0.2,5.507469177246094e-05,True,182,0,270,236
512,2048,0.9,0.3,3.9577484130859375e-05,True,75,0,161,145
512,2048,0.9,0.4,3.743171691894531e-05,True,33,0,114,99
512,2048,0.9,0.5,2.86102294921875e-05,True,14,0,90,70
512,2048,0.9,0.6,2.86102294921875e-05,True,2,0,59,68
512,4096,0.9,0.2,6.723403930664062e-05,True,339,0,249,257
512,4096,0.9,0.3,4.553794860839844e-05,True,114,0,135,171
512,4096,0.9,0.4,3.8623809814453125e-05,True,43,0,96,117
512,4096,0.9,0.5,4.291534423828125e-05,True,29,0,67,93
512,4096,0.9,0.6,3.528594970703125e-05,True,10,0,61,66
1024,512,0.9,0.2,5.2928924560546875e-05,True,40,0,258,248
1024,512,0.9,0.3,4.0531158447265625e-05,True,22,0,151,155
1024,512,0.9,0.4,3.24249267578125e-05,True,10,0,106,107
1024,512,0.9,0.5,2.6941299438476562e-05,True,2,0,82,78
1024,512,0.9,0.6,2.2172927856445312e-05,True,1,0,60,67
1024,1024,0.9,0.2,5.555152893066406e-05,True,90,0,246,260
1024,1024,0.9,0.3,4.4345855712890625e-05,True,32,0,147,159
1024,1024,0.9,0.4,3.4809112548828125e-05,True,20,0,102,111
1024,1024,0.9,0.5,2.6464462280273438e-05,True,6,0,84,76
1024,1024,0.9,0.6,2.4080276489257812e-05,True,1,0,62,65
1024,2048,0.9,0.2,5.555152893066406e-05,True,153,0,261,245
1024,2048,0.9,0.3,4.6253204345703125e-05,True,64,0,150,156
1024,2048,0.9,0.4,3.600120544433594e-05,True,27,0,109,104
1024,2048,0.9,0.5,3.1948089599609375e-05,True,11,0,90,70
1024,2048,0.9,0.6,2.9087066650390625e-05,True,4,0,61,66
1024,4096,0.9,0.2,6.556510925292969e-05,True,329,0,260,246
1024,4096,0.9,0.3,5.1975250244140625e-05,True,150,0,158,148
1024,4096,0.9,0.4,6.031990051269531e-05,True,63,0,108,105
1024,4096,0.9,0.5,4.00543212890625e-05,True,22,0,84,76
1024,4096,0.9,0.6,3.4809112548828125e-05,True,5,0,73,54
2048,512,0.9,0.2,5.7697296142578125e-05,True,42,0,264,242
2048,512,0.9,0.3,5.888938903808594e-05,True,16,0,157,149
2048,512,0.9,0.4,3.314018249511719e-05,True,11,0,102,111
2048,512,0.9,0.5,4.4345855712890625e-05,True,4,0,90,70
2048,512,0.9,0.6,2.4080276489257812e-05,True,3,0,56,71
2048,1024,0.9,0.2,5.602836608886719e-05,True,92,0,252,254
2048,1024,0.9,0.3,4.4345855712890625e-05,True,45,0,146,160
2048,1024,0.9,0.4,3.457069396972656e-05,True,12,0,105,108
2048,1024,0.9,0.5,3.504753112792969e-05,True,2,0,82,78
2048,1024,0.9,0.6,2.7894973754882812e-05,True,2,0,62,65
2048,2048,0.9,0.2,8.344650268554688e-05,True,191,0,248,258
2048,2048,0.9,0.3,6.818771362304688e-05,True,65,0,156,150
2048,2048,0.9,0.4,4.5299530029296875e-05,True,25,0,114,99
2048,2048,0.9,0.5,3.933906555175781e-05,True,10,0,82,78
2048,2048,0.9,0.6,3.62396240234375e-05,True,5,2,61,66
2048,4096,0.9,0.2,6.937980651855469e-05,True,342,0,247,259
2048,4096,0.9,0.3,5.245208740234375e-05,True,147,0,149,157
2048,4096,0.9,0.4,4.76837158203125e-05,True,55,0,100,113
2048,4096,0.9,0.5,6.008148193359375e-05,True,25,0,92,68
2048,4096,0.9,0.6,4.100799560546875e-05,True,7,0,67,60
4096,512,0.9,0.2,7.009506225585938e-05,True,38,0,233,273
4096,512,0.9,0.3,4.6253204345703125e-05,True,17,0,134,172
4096,512,0.9,0.4,3.886222839355469e-05,True,11,0,107,106
4096,512,0.9,0.5,3.409385681152344e-05,True,4,6,74,86
4096,512,0.9,0.6,3.504753112792969e-05,True,1,8,69,58
4096,1024,0.9,0.2,7.033348083496094e-05,True,80,0,243,263
4096,1024,0.9,0.3,5.555152893066406e-05,True,30,0,166,140
4096,1024,0.9,0.4,4.57763671875e-05,True,15,0,114,99
4096,1024,0.9,0.5,4.0531158447265625e-05,True,4,0,83,77
4096,1024,0.9,0.6,3.647804260253906e-05,False,3,10,63,64
4096,2048,0.9,0.2,7.390975952148438e-05,True,181,0,256,250
4096,2048,0.9,0.3,5.340576171875e-05,True,81,0,160,146
4096,2048,0.9,0.4,4.601478576660156e-05,True,33,3,117,96
4096,2048,0.9,0.5,5.841255187988281e-05,False,15,10,94,66
4096,2048,0.9,0.6,3.7670135498046875e-05,False,4,10,60,67
4096,4096,0.9,0.2,7.43865966796875e-05,True,338,0,272,234
4096,4096,0.9,0.3,5.507469177246094e-05,True,138,0,139,167
4096,4096,0.9,0.4,4.7206878662109375e-05,True,63,0,109,104
4096,4096,0.9,0.5,4.7206878662109375e-05,False,16,10,76,84
4096,4096,0.9,0.6,4.220008850097656e-05,False,5,10,64,63
