n,m,dim,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
1024,512,4,0.9,0.9,30.01252794265747,True,178,0,138,118
1024,512,8,0.9,0.9,30.556617259979248,True,217,0,134,122
1024,512,16,0.9,0.9,34.04365348815918,True,268,0,120,136
1024,512,32,0.9,0.9,29.01189613342285,True,237,0,127,129
1024,1024,4,0.9,0.9,62.90856313705444,True,367,0,126,130
1024,1024,8,0.9,0.9,58.44446802139282,True,417,0,128,128
1024,1024,16,0.9,0.9,57.60070776939392,True,456,0,127,129
1024,1024,32,0.9,0.9,57.97916531562805,True,471,0,128,128
1024,2048,4,0.9,0.9,123.2977364063263,True,704,0,126,130
1024,2048,8,0.9,0.9,120.61760592460632,True,851,0,135,121
1024,2048,16,0.9,0.9,118.7886483669281,True,947,0,121,135
1024,2048,32,0.9,0.9,119.3383116722107,True,1008,0,128,128
1024,4096,4,0.9,0.9,247.54683804512024,True,1430,0,128,128
1024,4096,8,0.9,0.9,250.3060748577118,True,1785,0,126,130
1024,4096,16,0.9,0.9,236.80219292640686,True,1894,0,135,121
1024,4096,32,0.9,0.9,235.2902820110321,True,1940,0,126,130
