n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
512,512,0.9,0.2,1.7523765563964844e-05,True,43,0,256,256
512,512,0.9,0.3,1.2993812561035156e-05,True,16,0,256,256
512,512,0.9,0.4,0.3505772352218628,True,7,0,127,129
512,512,0.9,0.5,0.3786332607269287,True,6,0,124,132
512,512,0.9,0.6,0.546281099319458,True,1,0,61,67
512,1024,0.9,0.2,1.3113021850585938e-05,True,78,0,256,256
512,1024,0.9,0.3,1.1444091796875e-05,True,31,0,256,256
512,1024,0.9,0.4,0.7253103256225586,True,8,0,130,126
512,1024,0.9,0.5,0.7286579608917236,True,7,0,123,133
512,1024,0.9,0.6,1.153509497642517,True,4,0,63,65
512,2048,0.9,0.2,1.3113021850585938e-05,True,153,0,256,256
512,2048,0.9,0.3,1.323223114013672e-05,True,68,0,256,256
512,2048,0.9,0.4,1.495396375656128,True,40,0,125,131
512,2048,0.9,0.5,1.4725180864334106,True,15,0,120,136
512,2048,0.9,0.6,2.1790190935134888,True,3,0,60,68
512,4096,0.9,0.2,2.3126602172851562e-05,True,362,0,256,256
512,4096,0.9,0.3,1.4185905456542969e-05,True,136,0,256,256
512,4096,0.9,0.4,3.045912981033325,True,55,0,122,134
512,4096,0.9,0.5,3.1635082960128784,True,21,0,133,123
512,4096,0.9,0.6,4.53577470779419,True,12,0,67,61
1024,512,0.9,0.2,1.384440541267395,True,41,0,245,267
1024,512,0.9,0.3,1.378544330596924,True,20,0,264,248
1024,512,0.9,0.4,2.043523907661438,True,6,0,128,128
1024,512,0.9,0.5,1.997665882110596,True,1,0,122,134
1024,512,0.9,0.6,2.434798002243042,True,2,0,70,58
1024,1024,0.9,0.2,3.0121562480926514,True,79,0,248,264
1024,1024,0.9,0.3,2.8614710569381714,True,39,0,248,264
1024,1024,0.9,0.4,4.476522088050842,True,18,0,132,124
1024,1024,0.9,0.5,4.295513033866882,True,10,0,118,138
1024,1024,0.9,0.6,4.481444835662842,True,3,0,65,63
1024,2048,0.9,0.2,5.93501329421997,True,176,0,262,250
1024,2048,0.9,0.3,6.133191466331482,True,87,0,250,262
1024,2048,0.9,0.4,7.894938468933106,True,29,0,129,127
1024,2048,0.9,0.5,8.795864701271057,True,15,0,125,131
1024,2048,0.9,0.6,9.615527510643005,True,2,0,63,65
1024,4096,0.9,0.2,11.67226541042328,True,337,0,244,268
1024,4096,0.9,0.3,12.09051501750946,True,154,0,246,266
1024,4096,0.9,0.4,16.134862661361694,True,52,0,141,115
1024,4096,0.9,0.5,16.653799891471863,True,16,0,127,129
1024,4096,0.9,0.6,19.959384083747864,True,8,0,65,63
2048,512,0.9,0.2,7.42025077342987,True,32,0,252,260
2048,512,0.9,0.3,8.495221018791199,True,13,0,257,255
2048,512,0.9,0.4,9.55541241168976,True,7,0,131,125
2048,512,0.9,0.5,8.958304524421692,True,2,0,134,122
2048,512,0.9,0.6,10.007632970809938,True,2,0,66,62
2048,1024,0.9,0.2,16.283040761947632,True,80,0,244,268
2048,1024,0.9,0.3,15.947386622428894,True,26,0,271,241
2048,1024,0.9,0.4,19.2660630941391,True,18,0,129,127
2048,1024,0.9,0.5,19.446741104125977,True,5,0,133,123
2048,1024,0.9,0.6,18.904805183410645,True,0,0,56,72
2048,2048,0.9,0.2,32.675623059272766,True,171,0,239,273
2048,2048,0.9,0.3,32.18889796733856,True,70,0,261,251
2048,2048,0.9,0.4,38.37842321395874,True,32,0,127,129
2048,2048,0.9,0.5,37.51527750492096,True,8,0,144,112
2048,2048,0.9,0.6,38.91565799713135,True,4,0,60,68
2048,4096,0.9,0.2,66.2341297864914,True,323,0,269,243
2048,4096,0.9,0.3,69.44395017623901,True,141,0,267,245
2048,4096,0.9,0.4,75.57330989837646,True,67,0,124,132
2048,4096,0.9,0.5,76.04078996181488,True,13,0,128,128
2048,4096,0.9,0.6,85.08259725570677,True,11,0,59,69
