n,m,dim,time,success,red_points,blue_points
8192,746,4,1.9786663055419922,True,48,269
8192,627,8,2.6084163188934326,True,225,207
8192,576,16,2.041243076324463,True,202,614
8192,537,32,2.0888845920562744,True,0,1584
16384,758,4,4.495406150817871,True,184,133
16384,641,8,5.435911417007446,True,209,223
16384,595,16,5.05997633934021,True,199,617
16384,537,32,4.318183898925781,True,0,1584
32768,794,4,12.364309072494507,True,124,116
32768,669,8,12.342204809188843,True,0,432
32768,592,16,11.049942255020142,True,0,816
32768,518,32,9.896234273910522,True,0,1584
65536,800,4,28.458545446395874,True,0,240
65536,648,8,29.72240376472473,True,0,569
65536,592,16,24.89871573448181,True,0,816
65536,544,32,23.543705701828003,True,387,1197
131072,781,4,63.369441747665405,True,0,240
131072,647,8,57.0019850730896,True,0,432
131072,567,16,52.00462603569031,True,0,816
131072,543,32,51.73852586746216,True,0,1584
